Open,High,Low,Close,Adj Close,Volume,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v75,v12,v13,v14,v15,v16,v17,v18,v19,v20,ema20,v21,v22,v79,v80,ticker,market_cap,Rank,tag,v65,v67,v1_vol,v2_vol,v2_vol_nif_100,v2_vol_midcap,v2_vol_smallcap,v2_vol_microcap,v3_vol,v4_vol,v5_vol,v5_vol_nif_100,v5_vol_midcap_150,v5_vol_smallcap_250,v5_vol_microcap_250,v5_vol_with_15%WH_all_stk,v5_vol_with_15%WH_nif_100,v5_vol_with_15%WH_midcap_150,v5_vol_with_15%WH_smallcap_250,v5_vol_with_15%WH_microcap_250,v5_vol_with_20%WH_all_stk,v5_vol_with_20%WH_nif_100,v5_vol_with_20%WH_midcap_150,v5_vol_with_20%WH_smallcap_250,v5_vol_with_20%WH_microcap_250,v5_vol_with_30%WH_all_stk,v5_vol_with_30%WH_nif_100,v5_vol_with_30%WH_midcap_150,v5_vol_with_30%WH_smallcap_250,v5_vol_with_30%WH_microcap_250,v26,v27,v28,v32,v33,v34,v35,v36,v37,v38,v39,v40,v47,v48,v49,v50,v51,v52,v53,v58,v59,v60,v61,v62,v63,v64,v76,v81,v2_vol_ema_4,v2_vol_ema_10,v84,v85,v86,total_account_value,total_portfolio_value,daily_return,cumulative_return,cumulative_return_20EMA,v65_proportion,allocation,shares_to_buy,actual_investment
290.0,313.99,290.0,312.84,0.0,9522164.0,132.34895021591186,229.42880000000002,186.29600029296876,0.08640088901236287,2.680470588235294,268.05,2.3595359833844376,235.95,0.8913003631814955,89.13,0.25401851926083285,0.005573627118464516,0.010091640892662816,0.010625468355946396,0.02834535910698956,0.029842298646524105,0.031127700289419843,0.19663279260025812,0.33816566921322744,0.3413508950919173,253.223,313.99,-0.3662537023472194,55.75,461.1479820627802,CUPID,48095961513.30957,631,Nifty Micro 250,671660180.3999999,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,2.1980133527119583,3.6130307463938425,2.244210778214769,1,1,1,1,1,1,1,1,1,4,2.0,1.75,2.0,1.75,2.0,1.75,2.9055220495529004,2.6850849591068564,1,1,1.6254181732829664,1,1,14,7.5,341.5210059278934,337.06531447136365,1.0,5.333333333333333,4.25,15409044.02529592,15403371.579999996,0.0,14.41,14.409999998839252,0.018446987870547233,3689.3975741094464,11,3441.24
291.95,296.75,290.15,294.15,0.0,4821228.0,196.21155008239745,259.1964,233.19509998168945,0.006673511293634471,1.0405828127279158,104.06,0.6522496321794431,65.22,0.4872585793078228,48.73,0.1187388278248962,0.003027242925886005,0.004159954707518285,0.006517212601423073,0.019772050169921375,0.018529852758144772,0.02029275774294049,0.15310718412455065,0.22450014912772484,0.32115953306988565,278.0875,308.25,-4.574209245742099,129.1999969482422,127.6702840154378,LTF,576245008903.3242,142,Nifty Midcap 150,1822140091.2357142,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,1.3889889553438222,1.882269050932718,2.0429369307717957,9,20,15,2,6,4,2,6,4,72,33.666666666666664,29.0,26.666666666666668,21.0,26.666666666666668,21.0,1.63562900313827,1.7713983123494454,3,2,0.5697541057436329,19,15,58,36.5,341.5210059278934,337.06531016756776,14.666666666666666,31.0,25.5,15409044.02529592,15403371.579999996,0.0,14.41,14.408439004430463,0.0500446462993313,10008.92925986626,34,10001.099999999999
3650.0,3755.0,3580.0,3725.6,0.0,4743416.0,2569.5987490234374,3133.75,2889.669001953125,0.09799298576522952,1.0427118731644023,104.27,0.7706381954689006,77.06,0.4707090130317242,47.07,0.15762980455519982,0.0030458545521518765,0.004726266339334424,0.006370096059172569,0.020536400399810965,0.019447527567134578,0.021944259433611665,0.14831491852778217,0.24302659158183149,0.29028530575133454,3268.99,3755.0,-0.782956058588551,1756.050048828125,112.15796226800177,MUTHOOTFIN,1139325997994.1406,62,Nifty Next 50,1457504217.257143,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,1.2999135828853867,2.164367412235358,1.7351729219618306,8,11,18,3,3,9,3,3,9,6,8.333333333333334,10.75,4.0,5.25,4.0,5.25,1.7321404975603722,1.7331513056941918,2,3,0.6206736042503124,14,18,37,27.5,341.5210059278934,337.0653101670452,12.333333333333334,22.0,18.5,15409044.02529592,15403371.579999996,0.0,14.41,14.409999998717067,0.04003000833100149,8006.001666200298,2,7451.2
1312.4,1381.6,1312.4,1370.7,0.0,267720.0,803.9382504882811,1136.534,957.5884992675782,0.04442243218530928,0.8974251850444948,89.74,1.1496117737304852,114.96,0.8237094791433706,82.37,0.15427368421052634,0.00295541017643823,0.006479912183954427,0.010112766590008513,0.028759266272338227,0.028128069905077692,0.032958984852349646,0.10276375441750604,0.2303717320748222,0.3068288248352277,1193.6100000000001,1387.6,-1.2179302392620253,549.7999877929688,149.3088451133519,IMFA,52653807507.23877,607,Nifty Micro 250,320781592.1571429,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,0.4532395354840488,1.9716744471242322,1.9000839236381006,11,4,2,15,5,7,15,5,7,14,9.666666666666666,7.75,11.333333333333334,10.25,11.333333333333334,10.25,1.2124569913041405,1.4416659687487938,6,4,0.9866606264369279,2,2,39,20.5,343.78416070570086,372.21266920934823,5.666666666666667,15.0,14.0,15409044.02529592,15403371.579999996,0.0,14.41,14.409996516672171,0.008810190498554743,1762.0380997109487,1,1370.7
1001.2,1014.4,992.95,999.0,0.0,1785705.0,733.6054985961914,912.6419999999999,865.6639995117188,0.0019557695200842495,1.0183856457450315,101.84,0.6547953947322527,65.48,0.20223838416780615,20.22,0.13787801127626853,0.0030466326297982596,0.0041472698522797774,0.003058454966668024,0.022559103754859765,0.01690780005975961,0.0162035159620478,0.13505113779805825,0.24528737255121894,0.18875255060886775,957.845,1014.4,-1.5181388012618275,474.04998779296875,110.73726942828064,LAURUSLABS,475396920564.9219,166,Nifty Midcap 150,701303994.0,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,1.0533754507952395,2.1987918630336285,0.7230624835123997,10,19,66,5,2,50,5,2,50,19,16.0,28.5,8.666666666666666,19.0,8.666666666666666,19.0,1.626083656914434,1.3250765991137559,4,5,0.4285168894500294,28,66,47,56.5,341.5210059278934,337.06531016749227,31.666666666666668,44.0,35.5,15409044.02529592,15403371.579999996,0.0,14.41,14.371602418450315,0.019261148194284605,3852.2296388569207,3,2997.0
868.05,873.9,862.0,868.45,0.0,1111820.0,633.3522507324219,769.7130000000001,707.2035017089844,-0.0011501523951923387,0.5111362128997965,51.11,0.47469852945596536,47.47,0.2934911653569048,29.35,0.13057345570526602,0.0018135806660106433,0.0031975285946870074,0.0041827608700310236,0.01876566818889687,0.014949614233551093,0.013573352554793463,0.09664354329166329,0.21388703044329155,0.30815974558576326,845.6850000000001,887.8,-2.179544942554619,473.8999938964844,83.25596353345777,INDIANB,895056915616.0,92,Nifty Next 50,670249652.9404762,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,0.3394812150090077,1.7206652569714327,1.9133509602951464,32,36,41,17,7,5,17,7,5,31,33.0,35.0,18.333333333333332,15.0,18.333333333333332,15.0,1.0300732359902203,1.3244991440918623,7,6,0.38409484740643507,37,41,53,47.0,341.5210059278934,337.06531016749807,36.333333333333336,43.333333333333336,40.5,15409044.02529592,15403371.579999996,0.0,14.41,14.40978909455372,0.01840824806774783,3681.649613549566,4,3473.8
143.88,146.38,143.36,146.07,0.0,26463777.0,107.06189980926514,125.0016,117.76339999084472,0.018264203555245828,0.3902160504831089,39.02,0.38902619734912647,38.9,0.3333637236960003,33.34,0.16650694777192143,0.0014830599373202179,0.00272994002334457,0.004680797586995639,0.01874044953422442,0.015491304292929322,0.014536525679230479,0.079136838986269,0.17622402682972235,0.3220024984156618,134.5405,146.38,-0.2117775652411547,78.5999984741211,85.83969826423505,CANBK,971829474891.2344,83,Nifty Next 50,1986702013.8899999,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,0.014078506199580548,1.1471783812562213,2.051339874477145,48,47,35,33,16,3,33,16,3,1,32.0,32.75,16.666666666666668,13.25,16.666666666666668,13.25,0.5806284437279009,1.0708655873109822,18,7,0.3611949605225634,42,35,35,35.0,341.5210059278934,337.0653101704167,43.333333333333336,39.0,41.25,15409044.02529592,15403371.579999996,0.0,14.41,14.407670490716312,0.0545643005526915,10912.8601105383,74,10809.18
2589.7,2659.9,2571.3,2626.6,0.0,452922.0,1623.1592531738281,2026.2879999999998,1775.7120012207033,0.019286739881252624,0.5810985703536493,58.11,0.6925059338095587,69.25,0.7938806772243068,79.39,0.23447854490764675,0.0022199633968270982,0.0045458878382563924,0.00980632946619204,0.028659350825993572,0.02734990893061396,0.03189516730259583,0.07746035178206573,0.16621217459221518,0.3074550251816343,2393.245,2659.9,-1.251926764164073,1155.5999755859375,127.29318583346316,MTARTECH,43560140800.0,661,Nifty Micro 250,914652913.1238095,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,-0.017082897341347113,0.9947299488709261,1.906326085650443,25,15,3,36,23,6,36,23,6,16,18.666666666666668,14.75,25.0,20.25,25.0,20.25,0.4888235257647895,0.9613243790600073,24,8,0.7431933055169327,8,3,18,10.5,341.5210058928176,337.0357509844508,14.333333333333334,12.0,15.25,15409044.02529592,15403371.579999996,0.0,14.41,14.409999996142313,0.025120725757640298,5024.14515152806,1,2626.6
1417.9,1441.9,1411.0,1430.4,0.0,93428.0,891.2492492675781,1195.116,1157.378500366211,0.004847207586933688,1.7441726618705036,174.42,1.3052377115229654,130.52,0.3974209008565077,39.74,0.2551772551772553,0.004572002368413088,0.0073613916169764215,0.006020361101877363,0.03374718615805538,0.038362548366094644,0.03805941592630957,0.13547803206466033,0.1918900576345059,0.1581832236609714,1228.525,1467.7,-2.5413912924984636,449.0,218.5746102449889,LUMAXTECH,72840126387.1875,531,Nifty Micro 250,357409552.4571429,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,1.0613102709820825,1.3857218376749953,0.41833781749771065,3,2,25,4,10,74,4,10,74,36,13.666666666666666,16.5,16.666666666666668,31.0,16.666666666666668,31.0,1.223516054328539,0.9551233087182629,5,9,0.8513293061897366,3,25,13,19.0,341.49762351058405,340.5553595421304,10.0,13.333333333333334,10.75,15409044.02529592,15403371.579999996,0.0,14.41,14.409988423356085,0.009816168758237482,1963.2337516474963,1,1430.4
1768.0,1780.0,1755.0,1758.7,0.0,77477.0,1184.9032485351563,1529.85,1391.0839982910156,-0.0024956043332765576,0.45269067404610674,45.27,0.6186838472158307,61.87,0.4762863492954803,47.63,0.14947712418300663,0.0018136319232047594,0.00406230845257983,0.006455684845583616,0.02591199983391779,0.021774510330623154,0.022846362887344693,0.06999197031603814,0.1865625628727318,0.2825694784511901,1619.665,1798.0,-2.1857619577308096,808.1500244140625,117.6204846711624,SJS,44321598188.52539,656,Nifty Micro 250,361760486.3666667,315,208,344,48,59,80,65,238,252,441,63,78,104,83,296,57,62,71,51,373,61,73,91,67,473,63,79,110,89,-0.1559000908618133,1.3046011613299404,1.6582591285678505,40,22,16,50,12,10,50,12,10,32,31.333333333333332,27.5,31.333333333333332,26.0,31.333333333333332,26.0,0.5743505352340635,0.9356533996786592,21,10,0.5474850982556555,20,16,40,28.0,345.47580216373206,401.032626693096,26.0,26.0,29.5,15409044.02529592,15403371.579999996,0.0,14.41,14.409984369252179,0.009935666128182414,1987.1332256364826,1,1758.7
