Open,High,Low,Close,Adj Close,Volume,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v75,v12,v13,v14,v15,v16,v17,v18,v19,v20,ema20,v21,v22,v79,v80,ticker,market_cap,Rank,tag,v65,v67,v1_vol,v2_vol,v2_vol_nif_100,v2_vol_midcap,v2_vol_smallcap,v2_vol_microcap,v3_vol,v4_vol,v5_vol,v5_vol_nif_100,v5_vol_midcap_150,v5_vol_smallcap_250,v5_vol_microcap_250,v5_vol_with_15%WH_all_stk,v5_vol_with_15%WH_nif_100,v5_vol_with_15%WH_midcap_150,v5_vol_with_15%WH_smallcap_250,v5_vol_with_15%WH_microcap_250,v5_vol_with_20%WH_all_stk,v5_vol_with_20%WH_nif_100,v5_vol_with_20%WH_midcap_150,v5_vol_with_20%WH_smallcap_250,v5_vol_with_20%WH_microcap_250,v5_vol_with_30%WH_all_stk,v5_vol_with_30%WH_nif_100,v5_vol_with_30%WH_midcap_150,v5_vol_with_30%WH_smallcap_250,v5_vol_with_30%WH_microcap_250,v26,v27,v28,v32,v33,v34,v35,v36,v37,v38,v39,v40,v47,v48,v49,v50,v51,v52,v53,v58,v59,v60,v61,v62,v63,v64,v76,v81,v2_vol_ema_4,v2_vol_ema_10,v84,v85,v86,total_account_value,total_portfolio_value,daily_return,cumulative_return,cumulative_return_20EMA,v65_proportion,allocation,shares_to_buy,actual_investment
525.9,526.95,419.95,419.95,0.0,22156866.0,188.0926502128601,351.42699999999996,277.1418002502441,-0.19994284625642977,4.482376088321697,448.24,2.9225668744309665,292.26,0.9325816843074091,93.26,0.13962008141112614,0.007288233339207158,0.011513155588693908,0.011381569031783164,0.03203142578084865,0.03461002589363882,0.041132091662407666,0.2275338409558009,0.3326537698664357,0.2767077620364552,440.03999999999996,526.95,-20.30553183413987,55.75,653.2735426008968,CUPID,48095961513.30957,632,Nifty Micro 250,514991484.1904762,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,2.7866425709871065,3.535407026967806,1.604148429461119,1,1,1,1,1,4,1,1,4,35,12.333333333333334,9.5,12.333333333333334,10.25,12.333333333333334,10.25,3.161024798977456,2.642066009138677,1,1,1.9275742793691877,1,1,11,6.0,256.99552760115813,260.09351441448115,1.0,4.333333333333333,3.5,15147843.875295924,15143482.69,0.0,14.15,14.18150400567213,0.03927538111371799,7855.076222743598,18,7559.099999999999
1024.75,1025.0,1007.2,1010.6,0.0,5083697.0,696.7542498779297,845.84,736.748999633789,-0.008924193390212776,0.7310723212251695,73.11,0.49298266147175074,49.3,0.5578850007707723,55.79,0.22038401159280285,0.0024153640470629036,0.0033330242915763277,0.007191125310562484,0.021808680298740293,0.017277720154660215,0.01633800913369674,0.1107524166513835,0.19290880172505465,0.44014697578611134,909.225,1025.6,-1.4625585023400827,493.3500061035156,104.84442839713964,SHRIRAMFIN,1115393137920.0,66,Nifty Next 50,451052628.2095238,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.6134755130150327,1.4073181867157283,3.234111970106498,5,7,4,6,4,1,6,4,1,17,9.666666666666666,8.25,9.0,7.0,9.0,7.0,1.0103968498653804,1.7516352232790862,6,2,0.5254338311212615,5,4,5,4.5,256.99552760115847,260.09356554363126,5.333333333333333,5.333333333333333,5.25,15147843.875295924,15143482.69,0.0,14.15,14.220160282207475,0.0343991394403737,6879.827888074739,6,6063.6
316.2,331.4,315.7,330.35,0.0,19758724.0,207.8046498718262,266.13519999999994,236.72670010375975,0.05006357279084561,0.5756462569389063,57.56,0.7169065730081616,71.69,0.5400932400932401,54.01,0.23958724202626658,0.0020911775286552754,0.004488567873630681,0.007104291277855716,0.023959941202800913,0.01973704534765666,0.02171743906356919,0.08727807430557538,0.22741843039660445,0.32712380391908646,288.3175,331.4,-0.3168376584188155,137.75,139.81851179673325,NATIONALUM,389622690473.25,183,Nifty Midcap 150,419178566.5857143,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.17664518835235055,1.9328437683085402,2.1069427604361253,7,3,5,14,2,2,14,2,2,7,5.666666666666667,5.5,7.666666666666667,6.25,7.666666666666667,6.25,1.0547444783304454,1.405477239032339,3,3,0.6284999065507009,4,5,3,4.0,256.99552760115813,260.09351091586404,5.0,3.6666666666666665,4.5,15147843.875295924,15143482.69,0.0,14.15,14.165635289267891,0.031968291637355976,6393.658327471196,19,6276.650000000001
185.0,190.0,183.77,188.6,0.0,24121865.0,130.6972748184204,156.4686,145.2551998901367,0.020121159671137923,0.6886023446811325,68.86,0.4989072487526478,49.89,0.3354103235856405,33.54,0.15911744822076068,0.0022670586187297135,0.00337013493516741,0.004748411748509615,0.01942872156685445,0.017726427365766583,0.01744171096517355,0.11668593895531106,0.1901192420575305,0.27224460707959947,170.947,190.0,-0.736842105263161,95.93000030517578,96.60168810593063,ASHOKLEY,768018788238.6172,106,Nifty Midcap 150,452719804.7428571,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.7238914912876164,1.364837724795486,1.5596378148477343,6,6,7,4,5,5,4,5,5,12,8.0,7.75,7.0,6.5,7.0,6.5,1.0443646080415512,1.2161223436436124,4,4,0.41715878616914415,7,7,8,7.5,256.99552760115813,260.09351440979606,6.333333333333333,7.0,6.75,15147843.875295924,15143482.69,0.0,14.15,14.171110717875772,0.03452628521994603,6905.257043989206,36,6789.599999999999
530.0,545.2,527.95,542.85,0.0,38736290.0,283.895349710083,370.222,327.1235999633789,0.03864919161963076,1.1964394635080016,119.64,0.9131277533039648,91.31,0.6189979123173277,61.9,0.6003832547169812,0.0035612275171725345,0.005617594448328533,0.00821459485364508,0.02968715662746299,0.03065167924325954,0.03340555693327411,0.11995852488877681,0.18327199641317762,0.24590504118980305,421.64250000000004,545.95,-0.5678175657111498,183.82000732421875,195.31605830182022,HINDCOPPER,240996140492.5908,249,Nifty Midcap 150,1896585341.2000003,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.7847905254221194,1.2605652974157047,1.2969558605490823,2,2,2,3,7,9,3,7,9,9,4.333333333333333,3.75,6.333333333333333,7.0,6.333333333333333,7.0,1.022677911418912,1.114103894462302,5,5,0.7660628328106462,2,2,1,1.5,256.99552760115813,260.0934930111747,2.0,1.6666666666666667,1.75,15147843.875295924,15143482.69,0.0,14.15,14.265723029945015,0.14464144432875736,28928.288865751474,53,28771.050000000003
984.5,993.3,983.95,991.95,0.0,5433884.0,848.3465006713867,962.357,902.8555001220703,0.007311500380807301,0.25834075270912726,25.83,0.22026075803724643,22.03,0.14795741233653525,14.8,0.04300509962672838,0.0009763004104091454,0.0016178785174101283,0.00223057437766518,0.01135143268668875,0.008627854270300153,0.008792656522271344,0.08600680084673394,0.18751806262877968,0.25368605858937515,970.4725000000001,999.0,-0.7057057057057011,680.0,45.87500000000001,SBIN,7471260994315.25,5,Nifty 50,461126001.54285717,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.15298826158609655,1.325225987876146,1.374555197816186,27,15,18,15,6,7,15,6,7,11,17.666666666666668,17.75,10.666666666666666,9.75,10.666666666666666,9.75,0.7391071247311213,0.9509231490928096,9,6,0.18410908518689084,15,18,24,21.0,256.99552760115813,260.09351440979515,20.0,19.0,21.0,15147843.875295924,15143482.69,0.0,14.15,14.164146214099521,0.03516737656450661,7033.475312901322,7,6943.650000000001
154.9,155.29,152.8,154.94,0.0,27521558.0,117.46814992523194,145.28119999999998,130.64950000000002,0.004538381742738462,0.5581254645613711,55.81,0.3563861984303738,35.64,0.2519392372333549,25.19,0.06065169769989032,0.0019308983060944836,0.0025392052235817908,0.0036823220587533837,0.01843762429629794,0.015361890636187743,0.014875430245023852,0.10472598177858443,0.16529249450586692,0.24754390280477426,149.53,156.3,-0.8701215611004565,78.5999984741211,97.12468576066667,CANBK,971829474891.2344,83,Nifty Next 50,336686383.3647619,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.5013305394407922,0.9867666922056126,1.3133000696240105,9,10,11,7,10,8,7,10,8,14,11.0,11.0,10.333333333333334,9.75,10.333333333333334,9.75,0.7440486158232025,0.9337991004234718,8,7,0.3041627178318643,9,11,21,16.0,256.99552760115813,260.0935144097989,10.0,14.0,12.75,15147843.875295924,15143482.69,0.0,14.15,14.162798955613853,0.025677096473229275,5135.419294645855,33,5113.0199999999995
604.2,618.45,603.6,616.55,0.0,8775682.0,466.7042500305176,536.145,494.2995004272461,0.023064797145938787,0.4023655374942794,40.24,0.31334537004569607,31.33,0.32634183069807454,32.63,0.15718843843843855,0.0015281799990972673,0.002284853504208156,0.004598911536658935,0.01923261019214293,0.015499751104675658,0.01470466786497763,0.07945775346299964,0.14741227060858458,0.31275181315806827,569.5725,618.45,-0.3072196620583864,363.0,69.84848484848484,VEDL,1739811135744.0,37,Nifty 50,382443528.1595237,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.031118074437752104,0.7144799298048452,1.9636122805010356,17,13,8,17,11,3,17,11,3,6,12.0,11.0,11.333333333333334,9.25,11.333333333333334,9.25,0.37279900212129863,0.9030700949145443,12,8,0.3198436003718853,8,8,9,8.5,256.99552760115813,260.09350616128546,12.666666666666666,10.0,11.75,15147843.875295924,15143482.69,0.0,14.15,14.291368022730612,0.029166725633437206,5833.345126687442,9,5548.95
898.0,927.3,896.55,925.45,0.0,4896709.0,721.0849979248046,828.7720000000002,784.158,0.03408011620760942,0.539594140056143,53.96,0.3251951490705194,32.52,0.208238135648541,20.82,0.13371309567560963,0.0018488519552970846,0.002328036177169696,0.003115936154700322,0.016436203097682713,0.013565381229060917,0.014857290342231644,0.11248656057053398,0.17161597878151616,0.2097243900419255,855.7475000000001,927.3,-0.19950393615873063,546.4500122070312,69.35675346812485,HINDALCO,1660503744549.8906,38,Nifty 50,328896733.1571429,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,0.6457459229824325,1.0830630848235148,0.9361297106008795,10,12,15,5,9,12,5,9,12,3,8.333333333333334,10.0,5.666666666666667,7.25,5.666666666666667,7.25,0.8644045039029736,0.8883129061356089,7,9,0.2667166423595302,10,15,12,13.5,256.99552760115813,260.09351440973006,12.333333333333334,13.0,12.25,15147843.875295924,15143482.69,0.0,14.15,14.188485502773986,0.0250830255224684,5016.60510449368,5,4627.25
16750.0,16999.0,16723.0,16959.0,0.0,355686.0,13980.863500976562,16140.06,15685.45,0.015022743595882293,0.5704304301136043,57.04,0.3436064015211535,34.36,0.06226119636705296,6.23,0.05453301828130819,0.001875422221242257,0.002420407844597273,0.001002361575621918,0.012982792604669875,0.012303463581722785,0.009355165170570532,0.1444544543188399,0.196725729183518,0.10714525690846656,16464.75,16999.0,-0.23530795929172307,10750.599609375,57.74934065269252,MARUTI,4683032804160.0,8,Nifty 50,425573183.85714287,95,65,259,44,52,56,48,149,200,358,59,67,78,63,252,52,57,51,42,314,56,64,72,55,379,59,68,82,69,1.240631402589843,1.465443791068006,-0.08688210646923435,8,11,28,2,3,25,2,3,25,5,8.0,13.0,3.3333333333333335,8.75,3.3333333333333335,8.75,1.3530375968289245,0.8730643623962049,2,10,0.20293379894410324,13,28,23,25.5,256.99552760115813,260.0935144097958,15.666666666666666,20.666666666666668,17.5,15147843.875295924,15143482.69,0.0,14.15,14.40771835249603,0.032455971605125755,6491.194321025151,0,0.0
